test_name,start_time,end_time,cfg_if_txqlen,cfg_use_uring,cfg_parallel,cfg_poll_trigger,cfg_poll_timeout,cfg_queue_depth,cfg_buffer_size,cpu_affinity,reads_cnt,reads_success,reads_failed,writes_cnt,writes_success,writes_failed,syscall_cnt,real,cpu_time,user,sys,cpu_percent,iops_nat1,iopcpus_nat1,eth1_tx_packets,eth1_tx_bytes,eth1_tx_errors,eth1_tx_drops,eth1_tx_overrun,eth1_rx_packets,eth1_rx_bytes,eth1_rx_errors,eth1_rx_drops,eth1_rx_overrun,eth1_pps,eth1_bps,eth1_bitps,eth1_packet_loss,nat1_tx_packets,nat1_tx_bytes,nat1_tx_errors,nat1_tx_drops,nat1_tx_overrun,nat1_rx_packets,nat1_rx_bytes,nat1_rx_errors,nat1_rx_drops,nat1_rx_overrun,nat1_pps,nat1_bps,nat1_bitps,nat1_packet_loss,eth2_tx_packets,eth2_tx_bytes,eth2_tx_errors,eth2_tx_drops,eth2_tx_overrun,eth2_rx_packets,eth2_rx_bytes,eth2_rx_errors,eth2_rx_drops,eth2_rx_overrun,eth2_pps,eth2_bps,eth2_bitps,eth2_packet_loss,context_switches,voluntary_context_switches,involuntary_context_switches
io_32G_4800Mbit,56908.545744956,56976.628939490,1000,0,0,1000,1000,1,2048,0,6402364,6398541,3823,6398541,6398541,0,12800905,68.83194,67.355681,8.145953,59.209728,98,187000,189000,21,2503,0,0,0,21106016,31447932237,0,0,0,310000,461905000,3695240000,0.00,6398541,9444193341,0,14707492,0,6398541,9444193341,0,0,0,93000,138715000,1109720000,69.68,6396378,9530574488,0,0,0,20,2461,0,0,0,93000,139984000,1119872000,0.00,4070,3228,842
io_32G_4800Mbit,56978.634592460,57042.6566943,1000,0,0,1000,1000,1,2048,0,5193608,5193568,40,5193568,5193568,0,10387176,63.371974,62.834574,6.473248,56.361326,99,163000,165000,21,2503,0,0,0,21372714,31845312254,0,0,0,337000,502521000,4020168000,0.00,5193568,7665653190,0,16179163,0,5193568,7665653190,0,0,0,81000,120964000,967712000,75.70,5193223,7737872087,0,0,0,21,2503,0,0,0,81000,122104000,976832000,0.00,927,38,889
io_32G_4800Mbit,57044.11831107,57114.690726381,1000,0,0,1000,1000,1,2048,0,7539010,7527752,11258,7527752,7527752,0,15066762,70.678895,70.158393,9.29663,61.128730,99,213000,214000,22,2545,0,0,0,20594807,30686230795,0,0,0,291000,434169000,3473352000,0.00,7527752,11110908770,0,13067071,0,7527752,11110908770,0,0,0,106000,157204000,1257632000,63.45,7515658,11198301681,0,0,0,20,2461,0,0,0,106000,158441000,1267528000,0.00,9672,9135,537
io_32G_4800Mbit,57116.695649601,57180.33400536,1000,0,0,1000,1000,1,2048,0,5593539,5592184,1355,5592184,5592184,0,11185723,63.337750,62.793170,6.679296,56.113874,99,176000,178000,22,2543,0,0,0,21580528,32154953664,0,0,0,340000,507680000,4061440000,0.00,5592184,8254010402,0,15988360,0,5592184,8254010402,0,0,0,88000,130318000,1042544000,74.09,5591932,8331948495,0,0,0,21,2501,0,0,0,88000,131549000,1052392000,0.00,1987,1089,898
io_32G_4800Mbit,57182.38299153,57251.62854960,1000,0,0,1000,1000,1,2048,0,6864555,6852753,11802,6852753,6852753,0,13717308,69.24555,67.853856,8.332205,59.521651,98,198000,201000,27,2830,0,0,0,20584537,30670918541,0,0,0,298000,444351000,3554808000,0.00,6852753,10114604554,0,13731808,0,6852753,10114604554,0,0,0,99000,146537000,1172296000,66.71,6851128,10208149110,0,0,0,30,3106,0,0,0,99000,147892000,1183136000,0.00,10288,9623,665
liburing1_32G_4800Mbit,57265.569468278,57339.374972854,1000,2,0,1000,1000,1,2048,0,6889158,6889157,1,6889157,6889157,0,13778315,73.805504,73.88586,10.437477,62.651109,99,186000,188000,21,2499,0,0,0,20283189,30221920002,0,0,0,274000,409483000,3275864000,0.00,6889157,10168342548,0,13394049,0,6889157,10168342548,0,0,0,93000,137773000,1102184000,66.04,6888319,10263565125,0,0,0,21,2499,0,0,0,93000,139063000,1112504000,0.00,1404,976,428
liburing1_32G_4800Mbit,57341.379746679,57415.150888447,1000,2,0,1000,1000,1,2048,0,6899468,6899468,0,6899468,6899468,0,13798936,73.771141,73.411141,10.285483,63.125658,99,187000,187000,22,2544,0,0,0,20934087,31191758000,0,0,0,283000,422818000,3382544000,0.00,6899468,10183561590,0,14034635,0,6899468,10183561590,0,0,0,93000,138042000,1104336000,67.04,6895796,10274704410,0,0,0,22,2544,0,0,0,93000,139278000,1114224000,0.00,920,660,260
liburing1_32G_4800Mbit,57417.155690571,57489.950444459,1000,2,0,1000,1000,1,2048,0,6840334,6840334,0,6840334,6840334,0,13680668,72.794753,72.250548,10.121351,62.129197,99,187000,189000,21,2501,0,0,0,20547627,30615934047,0,0,0,282000,420583000,3364664000,0.00,6840334,10096279804,0,13707310,0,6840334,10096279804,0,0,0,93000,138696000,1109568000,66.71,6839337,10190580499,0,0,0,22,2543,0,0,0,93000,139992000,1119936000,0.00,871,749,122
liburing1_32G_4800Mbit,57491.955537338,57563.737472857,1000,2,0,1000,1000,1,2048,0,6691246,6691246,0,6691246,6691246,0,13382492,71.781935,71.203994,10.5145,61.198849,99,186000,187000,21,2501,0,0,0,20141191,30010342987,0,0,0,280000,418081000,3344648000,0.00,6691246,9876225919,0,13449962,0,6691246,9876225919,0,0,0,93000,137588000,1100704000,66.78,6690252,9968443852,0,0,0,22,2543,0,0,0,93000,138873000,1110984000,0.00,2012,1699,313
liburing1_32G_4800Mbit,57565.742480343,57639.312016335,1000,2,0,1000,1000,1,2048,0,6902003,6902003,0,6902003,6902003,0,13804006,73.569535,73.203415,10.580553,62.622862,99,187000,188000,21,2505,0,0,0,20453595,30475823521,0,0,0,278000,414248000,3313984000,0.00,6902003,10187300406,0,13551609,0,6902003,10187300406,0,0,0,93000,138472000,1107776000,66.26,6901093,10282594093,0,0,0,22,2547,0,0,0,93000,139768000,1118144000,0.00,1302,1143,159
