test_name,start_time,end_time,cfg_if_txqlen,cfg_use_uring,cfg_parallel,cfg_poll_trigger,cfg_poll_timeout,cfg_queue_depth,cfg_buffer_size,cpu_affinity,reads_cnt,reads_success,reads_failed,writes_cnt,writes_success,writes_failed,syscall_cnt,real,cpu_time,user,sys,cpu_percent,iops_nat1,iopcpus_nat1,eth1_tx_packets,eth1_tx_bytes,eth1_tx_errors,eth1_tx_drops,eth1_tx_overrun,eth1_rx_packets,eth1_rx_bytes,eth1_rx_errors,eth1_rx_drops,eth1_rx_overrun,eth1_pps,eth1_bps,eth1_bitps,eth1_packet_loss,nat1_tx_packets,nat1_tx_bytes,nat1_tx_errors,nat1_tx_drops,nat1_tx_overrun,nat1_rx_packets,nat1_rx_bytes,nat1_rx_errors,nat1_rx_drops,nat1_rx_overrun,nat1_pps,nat1_bps,nat1_bitps,nat1_packet_loss,eth2_tx_packets,eth2_tx_bytes,eth2_tx_errors,eth2_tx_drops,eth2_tx_overrun,eth2_rx_packets,eth2_rx_bytes,eth2_rx_errors,eth2_rx_drops,eth2_rx_overrun,eth2_pps,eth2_bps,eth2_bitps,eth2_packet_loss,context_switches,voluntary_context_switches,involuntary_context_switches
io_32G_4800Mbit,113408.957506086,113503.433174584,1000,0,0,1000,1000,1,2048,0,9530555,9530509,46,9530509,9530509,0,19061064,94.475668,94.27727,11.799564,82.228163,99,201000,202000,2123378,140242029,0,0,0,7408885,11216998924,0,0,0,78000,118729000,949832000,0.00,9530509,11221117823,0,1948,0,9530509,11221117823,0,0,0,100000,118773000,950184000,0.02,7406993,11214131492,0,0,0,2123578,140255341,0,0,0,78000,118699000,949592000,0.00,582,46,536
io_32G_4800Mbit,113505.438179314,113593.389687521,1000,0,0,1000,1000,1,2048,0,9381315,9381254,61,9381254,9381254,0,18762569,87.951508,87.617658,11.959933,75.657725,99,213000,214000,1975529,130486327,0,0,0,7407635,11215107518,0,0,0,84000,127515000,1020120000,0.00,9381254,11211329893,0,2102,0,9381254,11211329893,0,0,0,106000,127472000,1019776000,0.02,7405589,11212005458,0,0,0,1975728,130499445,0,0,0,84000,127480000,1019840000,0.00,1010,61,949
io_32G_4800Mbit,113595.394515065,113690.431701229,1000,0,0,1000,1000,1,2048,0,9537270,9537214,56,9537214,9537214,0,19074484,95.37186,94.719390,11.812918,82.906472,99,200000,201000,2129881,140674350,0,0,0,7409407,11217789980,0,0,0,77000,118036000,944288000,0.00,9537214,11221765746,0,2265,0,9537214,11221765746,0,0,0,100000,118077000,944616000,0.02,7407196,11214438110,0,0,0,2130079,140687394,0,0,0,77000,118000000,944000000,0.00,837,56,781
io_32G_4800Mbit,113692.436778602,113782.189591117,1000,0,0,1000,1000,1,2048,0,9368249,9368208,41,9368208,9368208,0,18736457,89.752812,89.457123,11.161937,78.295186,99,208000,209000,1961090,129518407,0,0,0,7409001,11217175300,0,0,0,82000,124979000,999832000,0.00,9368208,11212651829,0,2023,0,9368208,11212651829,0,0,0,104000,124929000,999432000,0.02,7406985,11214115716,0,0,0,1961239,129527989,0,0,0,82000,124945000,999560000,0.00,486,41,445
io_32G_4800Mbit,113784.194848766,113874.571414523,1000,0,0,1000,1000,1,2048,0,9425996,9425949,47,9425949,9425949,0,18851945,90.376565,90.48990,11.722319,78.326671,99,208000,209000,2018709,133333318,0,0,0,7408720,11216752642,0,0,0,81000,124112000,992896000,0.00,9425949,11215841506,0,1576,0,9425949,11215841506,0,0,0,104000,124101000,992808000,0.02,7407102,11214297102,0,0,0,2018813,133340134,0,0,0,81000,124084000,992672000,0.00,502,46,456
liburing1_32G_4800Mbit,113884.876766949,113999.329726638,1000,2,0,1000,1000,1,2048,0,9902347,9902346,1,9902346,9902346,0,19804693,114.452959,114.4186,14.765297,99.238889,99,173000,173000,2494645,164746713,0,0,0,7408576,11216523892,0,0,0,64000,98001000,784008000,0.00,9902346,11241266819,0,1079,0,9902346,11241266819,0,0,0,86000,98218000,785744000,0.01,7407558,11214976752,0,0,0,2494860,164760847,0,0,0,64000,97988000,783904000,0.00,753,36,717
liburing1_32G_4800Mbit,114001.334586909,114119.49514180,1000,2,0,1000,1000,1,2048,0,9993235,9993235,0,9993235,9993235,0,19986470,117.714927,117.385195,14.851997,102.533198,99,169000,170000,2586608,170830924,0,0,0,7408290,11216094320,0,0,0,62000,95282000,762256000,0.00,9993235,11244455980,0,1991,0,9993235,11244455980,0,0,0,84000,95523000,764184000,0.02,7406484,11213357092,0,0,0,2586944,170853064,0,0,0,62000,95259000,762072000,0.00,856,35,821
liburing1_32G_4800Mbit,114121.54597090,114222.958306696,1000,2,0,1000,1000,1,2048,0,9657024,9657024,0,9657024,9657024,0,19314048,101.903709,101.587122,14.502022,87.85100,99,189000,190000,2249802,148587184,0,0,0,7408788,11216849910,0,0,0,72000,110073000,880584000,0.00,9657024,11227828882,0,1702,0,9657024,11227828882,0,0,0,94000,110181000,881448000,0.02,7407082,11214265554,0,0,0,2249945,148596634,0,0,0,72000,110048000,880384000,0.00,1197,38,1159
liburing1_32G_4800Mbit,114224.963545141,114338.213162717,1000,2,0,1000,1000,1,2048,0,9921257,9921257,0,9921257,9921257,0,19842514,113.249617,112.910409,15.775186,97.135223,99,175000,175000,2515636,166155810,0,0,0,7407629,11215091869,0,0,0,65000,99030000,792240000,0.00,9921257,11239268169,0,2327,0,9921257,11239268169,0,0,0,87000,99243000,793944000,0.02,7405480,11211836811,0,0,0,2515964,166177586,0,0,0,65000,99001000,792008000,0.00,1556,36,1520
liburing1_32G_4800Mbit,114340.217953184,114471.563473715,1000,2,0,1000,1000,1,2048,0,10338390,10338390,0,10338390,10338390,0,20676780,131.345520,131.3830,16.722645,114.281185,99,157000,157000,2930852,193552027,0,0,0,7408725,11216746372,0,0,0,56000,85399000,683192000,0.00,10338390,11263717725,0,1465,0,10338390,11263717725,0,0,0,78000,85756000,686048000,0.01,7407394,11214729766,0,0,0,2931141,193571137,0,0,0,56000,85383000,683064000,0.00,1841,28,1813
