test_name,start_time,end_time,cfg_if_txqlen,cfg_use_uring,cfg_parallel,cfg_poll_trigger,cfg_poll_timeout,cfg_queue_depth,cfg_buffer_size,cpu_affinity,reads_cnt,reads_success,reads_failed,writes_cnt,writes_success,writes_failed,syscall_cnt,real,cpu_time,user,sys,cpu_percent,iops_nat1,iopcpus_nat1,eth1_tx_packets,eth1_tx_bytes,eth1_tx_errors,eth1_tx_drops,eth1_tx_overrun,eth1_rx_packets,eth1_rx_bytes,eth1_rx_errors,eth1_rx_drops,eth1_rx_overrun,eth1_pps,eth1_bps,eth1_bitps,eth1_packet_loss,nat1_tx_packets,nat1_tx_bytes,nat1_tx_errors,nat1_tx_drops,nat1_tx_overrun,nat1_rx_packets,nat1_rx_bytes,nat1_rx_errors,nat1_rx_drops,nat1_rx_overrun,nat1_pps,nat1_bps,nat1_bitps,nat1_packet_loss,eth2_tx_packets,eth2_tx_bytes,eth2_tx_errors,eth2_tx_drops,eth2_tx_overrun,eth2_rx_packets,eth2_rx_bytes,eth2_rx_errors,eth2_rx_drops,eth2_rx_overrun,eth2_pps,eth2_bps,eth2_bitps,eth2_packet_loss,context_switches,voluntary_context_switches,involuntary_context_switches
io_750M_50Mbit,98074.771236038,98201.36114389,1000,0,0,1000,1000,1,2048,0,669006,543149,125857,543149,543149,0,1212155,126.264878,6.694242,1.222794,5.471448,5,8000,162000,19,1459,0,0,0,543140,809247643,0,0,0,4000,6409000,51272000,0.00,543149,801644596,0,0,0,543149,801644596,0,0,0,4000,6348000,50784000,0.00,543131,809234233,0,0,0,19,1459,0,0,0,4000,6409000,51272000,0.00,125854,125853,1
io_750M_50Mbit,98203.40762886,98329.157294625,1000,0,0,1000,1000,1,2048,0,669067,543147,125920,543147,543147,0,1212214,126.116531,6.265659,1.97768,5.167891,4,8000,173000,17,1374,0,0,0,543136,809247427,0,0,0,4000,6416000,51328000,0.00,543147,801644491,0,0,0,543147,801644491,0,0,0,4000,6356000,50848000,0.00,543128,809234059,0,0,0,18,1416,0,0,0,4000,6416000,51328000,0.00,125925,125916,9
io_750M_50Mbit,98331.161849871,98457.765633543,1000,0,0,1000,1000,1,2048,0,669054,543151,125903,543151,543151,0,1212205,126.603783,6.702161,1.149575,5.552586,5,8000,162000,17,1378,0,0,0,543140,809253388,0,0,0,4000,6392000,51136000,0.00,543151,801650400,0,0,0,543151,801650400,0,0,0,4000,6332000,50656000,0.00,543133,809240062,0,0,0,19,1462,0,0,0,4000,6391000,51128000,0.00,125902,125897,5
io_750M_50Mbit,98459.770577902,98585.896157198,1000,0,0,1000,1000,1,2048,0,669091,543147,125944,543147,543147,0,1212238,126.125579,5.971284,1.21765,4.949519,4,8000,181000,17,1376,0,0,0,543136,809247426,0,0,0,4000,6416000,51328000,0.00,543147,801644492,0,0,0,543147,801644492,0,0,0,4000,6355000,50840000,0.00,543130,809234142,0,0,0,20,1502,0,0,0,4000,6416000,51328000,0.00,125934,125932,2
io_750M_50Mbit,98587.901153621,98714.433744868,1000,0,0,1000,1000,1,2048,0,669025,543147,125878,543147,543147,0,1212172,126.532591,6.335136,1.18898,5.316238,5,8000,171000,17,1373,0,0,0,543136,809247429,0,0,0,4000,6395000,51160000,0.00,543147,801644492,0,0,0,543147,801644492,0,0,0,4000,6335000,50680000,0.00,543130,809235593,0,0,0,20,1527,0,0,0,4000,6395000,51160000,0.00,125875,125874,1
io_1500M_200Mbit,98720.448430675,98783.655228668,1000,0,0,1000,1000,1,2048,0,1149486,1086275,63211,1086275,1086275,0,2235761,63.206797,11.68147,1.441490,9.626657,17,34000,196000,15,1293,0,0,0,1086262,1618505219,0,0,0,17000,25606000,204848000,0.00,1086275,1603298578,0,0,0,1086275,1603298578,0,0,0,17000,25366000,202928000,0.00,1086246,1618481379,0,0,0,15,1293,0,0,0,17000,25606000,204848000,0.00,63210,63195,15
io_1500M_200Mbit,98785.659932214,98848.870583097,1000,0,0,1000,1000,1,2048,0,1149422,1086272,63150,1086272,1086272,0,2235694,63.210650,9.42858,1.252372,7.790486,14,34000,240000,16,1335,0,0,0,1086261,1618503704,0,0,0,17000,25605000,204840000,0.00,1086272,1603296993,0,0,0,1086272,1603296993,0,0,0,17000,25364000,202912000,0.00,1086243,1618479752,0,0,0,15,1293,0,0,0,17000,25604000,204832000,0.00,63142,63140,2
io_1500M_200Mbit,98850.875479960,98914.78322272,1000,0,0,1000,1000,1,2048,0,1149374,1086274,63100,1086274,1086274,0,2235648,63.202842,10.997170,1.510189,9.486981,17,34000,197000,16,1335,0,0,0,1086262,1618506620,0,0,0,17000,25608000,204864000,0.00,1086274,1603299951,0,0,0,1086274,1603299951,0,0,0,17000,25367000,202936000,0.00,1086246,1618482780,0,0,0,16,1335,0,0,0,17000,25608000,204864000,0.00,63085,63081,4
io_1500M_200Mbit,98916.82857642,98979.290877522,1000,0,0,1000,1000,1,2048,0,1149387,1086272,63115,1086272,1086272,0,2235659,63.208019,10.950443,1.260767,9.689676,17,34000,198000,16,1329,0,0,0,1086260,1618503637,0,0,0,17000,25605000,204840000,0.00,1086272,1603296990,0,0,0,1086272,1603296990,0,0,0,17000,25365000,202920000,0.00,1086243,1618479755,0,0,0,15,1287,0,0,0,17000,25605000,204840000,0.00,63110,63096,14
io_1500M_200Mbit,98981.295590219,99044.519948839,1000,0,0,1000,1000,1,2048,0,1149935,1086272,63663,1086272,1086272,0,2236207,63.224358,13.120600,1.478979,11.641621,20,34000,165000,16,1335,0,0,0,1086260,1618503639,0,0,0,17000,25599000,204792000,0.00,1086272,1603296998,0,0,0,1086272,1603296998,0,0,0,17000,25358000,202864000,0.00,1086243,1618478309,0,0,0,16,1335,0,0,0,17000,25599000,204792000,0.00,63576,63539,37
io_3G_400Mbit,99050.535598698,99115.258357929,1000,0,0,1000,1000,1,2048,0,2289762,2224659,65103,2224659,2224659,0,4514421,64.722759,25.659592,2.909703,22.749889,39,68000,173000,16,1333,0,0,0,2224647,3314700269,0,0,0,34000,51214000,409712000,0.00,2224659,3283556208,0,0,0,2224659,3283556208,0,0,0,34000,50733000,405864000,0.00,2224614,3314649651,0,0,0,17,1375,0,0,0,34000,51213000,409704000,0.00,65106,65046,60
io_3G_400Mbit,99117.263322972,99181.983883511,1000,0,0,1000,1000,1,2048,0,2304467,2224659,79808,2224659,2224659,0,4529126,64.720560,21.391043,2.758117,18.632926,33,68000,207000,17,1377,0,0,0,2224648,3314700311,0,0,0,34000,51216000,409728000,0.00,2224659,3283556210,0,0,0,2224659,3283556210,0,0,0,34000,50734000,405872000,0.00,2224614,3314649651,0,0,0,17,1377,0,0,0,34000,51215000,409720000,0.00,77013,76976,37
io_3G_400Mbit,99183.988829346,99248.704981859,1000,0,0,1000,1000,1,2048,0,2290819,2224656,66163,2224656,2224656,0,4515475,64.716152,18.974508,2.611984,16.362524,29,68000,234000,17,1379,0,0,0,2224645,3314695839,0,0,0,34000,51219000,409752000,0.00,2224656,3283551782,0,0,0,2224656,3283551782,0,0,0,34000,50737000,405896000,0.00,2224611,3314645179,0,0,0,17,1379,0,0,0,34000,51218000,409744000,0.00,66060,66048,12
io_3G_400Mbit,99250.709632812,99315.426056338,1000,0,0,1000,1000,1,2048,0,2290271,2224659,65612,2224659,2224659,0,4514930,64.716423,21.672578,2.603569,19.69009,33,68000,205000,17,1377,0,0,0,2224648,3314700311,0,0,0,34000,51219000,409752000,0.00,2224659,3283556210,0,0,0,2224659,3283556210,0,0,0,34000,50737000,405896000,0.00,2224614,3314649651,0,0,0,17,1377,0,0,0,34000,51218000,409744000,0.00,65567,65543,24
io_3G_400Mbit,99317.431675731,99382.143821970,1000,0,0,1000,1000,1,2048,0,2289648,2224657,64991,2224657,2224657,0,4514305,64.712146,25.321877,2.812403,22.509474,39,68000,175000,17,1378,0,0,0,2224646,3314697331,0,0,0,34000,51222000,409776000,0.00,2224657,3283553259,0,0,0,2224657,3283553259,0,0,0,34000,50741000,405928000,0.00,2224611,3314646629,0,0,0,16,1336,0,0,0,34000,51221000,409768000,0.00,64959,64954,5
io_6G_800Mbit,99388.158491567,99452.878628195,1000,0,0,1000,1000,1,2048,0,4598126,4449293,148833,4449293,4449293,0,9047419,64.720136,39.177100,5.419560,33.757540,60,137000,227000,16,1337,0,0,0,4449281,6629404927,0,0,0,68000,102432000,819456000,0.00,4449293,6567115994,0,0,0,4449293,6567115994,0,0,0,68000,101469000,811752000,0.00,4449213,6629303607,0,0,0,16,1337,0,0,0,68000,102430000,819440000,0.00,128378,128233,145
io_6G_800Mbit,99454.883448839,99519.605038374,1000,0,0,1000,1000,1,2048,0,4547736,4449340,98396,4449340,4449340,0,8997076,64.721589,46.395792,5.697927,40.697865,71,137000,191000,17,1380,0,0,0,4449329,6629475001,0,0,0,68000,102431000,819448000,0.00,4449340,6567185369,0,0,0,4449340,6567185369,0,0,0,68000,101469000,811752000,0.00,4449260,6629373639,0,0,0,16,1338,0,0,0,68000,102430000,819440000,0.00,85249,84540,709
io_6G_800Mbit,99521.609925615,99586.331344814,1000,0,0,1000,1000,1,2048,0,4500113,4449297,50816,4449297,4449297,0,8949410,64.721419,50.769369,5.555105,45.214264,78,137000,175000,17,1379,0,0,0,4449286,6629408080,0,0,0,68000,102430000,819440000,0.00,4449297,6567119049,0,0,0,4449297,6567119049,0,0,0,68000,101468000,811744000,0.00,4449217,6629306718,0,0,0,16,1337,0,0,0,68000,102428000,819424000,0.00,50546,49439,1107
io_6G_800Mbit,99588.336196443,99653.53572543,1000,0,0,1000,1000,1,2048,0,4493593,4449336,44257,4449336,4449336,0,8942929,64.717376,53.99906,5.845701,47.254205,82,137000,167000,17,1381,0,0,0,4449325,6629466191,0,0,0,68000,102437000,819496000,0.00,4449336,6567176616,0,0,0,4449336,6567176616,0,0,0,68000,101475000,811800000,0.00,4449256,6629364829,0,0,0,16,1339,0,0,0,68000,102436000,819488000,0.00,40890,39641,1249
io_6G_800Mbit,99655.58510686,99719.778263154,1000,0,0,1000,1000,1,2048,0,4503047,4449293,53754,4449293,4449293,0,8952340,64.719752,49.651773,5.336697,44.315076,76,137000,179000,16,1338,0,0,0,4449281,6629402081,0,0,0,68000,102433000,819464000,0.00,4449293,6567113149,0,0,0,4449293,6567113149,0,0,0,68000,101471000,811768000,0.00,4449214,6629302251,0,0,0,16,1338,0,0,0,68000,102432000,819456000,0.00,53811,52395,1416
io_7G_1000Mbit,99725.792722645,99786.222551248,1000,0,0,1000,1000,1,2048,0,5298328,5190546,107782,5190546,5190546,0,10488874,60.429828,44.802982,6.392111,38.410871,74,171000,231000,15,1296,0,0,0,5190781,7734241377,0,0,0,85000,127988000,1023904000,0.00,5190546,7661205425,0,248,0,5190546,7661205425,0,0,0,85000,126780000,1014240000,0.00,5190454,7733754147,0,0,0,15,1296,0,0,0,85000,127980000,1023840000,0.00,89926,89787,139
io_7G_1000Mbit,99788.227275463,99848.651654443,1000,0,0,1000,1000,1,2048,0,5248887,5190650,58237,5190650,5190650,0,10439537,60.424378,42.902205,5.955407,36.946798,71,171000,241000,16,1340,0,0,0,5190833,7734317409,0,0,0,85000,128000000,1024000000,0.00,5190650,7661358931,0,195,0,5190650,7661358931,0,0,0,85000,126793000,1014344000,0.00,5190559,7733909149,0,0,0,16,1340,0,0,0,85000,127993000,1023944000,0.00,57009,56940,69
io_7G_1000Mbit,99850.656658916,99911.75690381,1000,0,0,1000,1000,1,2048,0,5343118,5190804,152314,5190804,5190804,0,10533922,60.419031,46.441819,6.584346,39.857473,76,171000,223000,16,1340,0,0,0,5190792,7734256320,0,0,0,85000,128010000,1024080000,0.00,5190804,7661586236,0,0,0,5190804,7661586236,0,0,0,85000,126807000,1014456000,0.00,5190713,7734138610,0,0,0,16,1340,0,0,0,85000,128008000,1024064000,0.00,118619,118423,196
io_7G_1000Mbit,99913.80470620,99973.497064187,1000,0,0,1000,1000,1,2048,0,5207701,5168947,38754,5168947,5168947,0,10376648,60.416593,48.995680,6.127638,42.868042,81,171000,210000,16,1339,0,0,0,5190782,7734241417,0,0,0,85000,128016000,1024128000,0.00,5168947,7629325300,0,21847,0,5168947,7629325300,0,0,0,85000,126279000,1010232000,0.42,5168857,7701573167,0,0,0,16,1339,0,0,0,85000,127475000,1019800000,0.00,38292,37642,650
io_7G_1000Mbit,99975.502047743,100035.918277135,1000,0,0,1000,1000,1,2048,0,5249816,5190872,58944,5190872,5190872,0,10440688,60.416229,42.865241,6.30430,36.834811,70,171000,242000,16,1340,0,0,0,5190860,7734354792,0,0,0,85000,128018000,1024144000,0.00,5190872,7661683756,0,0,0,5190872,7661683756,0,0,0,85000,126815000,1014520000,0.00,5190781,7734237082,0,0,0,16,1340,0,0,0,85000,128016000,1024128000,0.00,57693,57601,92
io_8G_1200Mbit,100041.933783088,100099.846502367,1000,0,0,1000,1000,1,2048,0,3801902,3801782,120,3801782,3801782,0,7603684,57.912719,57.212569,4.899150,52.313419,98,131000,132000,15,1300,0,0,0,5932323,8839138958,0,0,0,102000,152630000,1221040000,0.00,3801782,5611389766,0,2130554,0,3801782,5611389766,0,0,0,65000,96895000,775160000,35.91,3801710,5664524140,0,0,0,16,1342,0,0,0,65000,97812000,782496000,0.00,1722,96,1626
io_8G_1200Mbit,100101.851461085,100159.954818347,1000,0,0,1000,1000,1,2048,0,3707104,3707047,57,3707047,3707047,0,7414151,58.103357,57.225520,4.975670,52.249850,98,127000,129000,16,1341,0,0,0,5932390,8839237338,0,0,0,102000,152130000,1217040000,0.00,3707047,5471560903,0,2225355,0,3707047,5471560903,0,0,0,63000,94170000,753360000,37.51,3706968,5523358558,0,0,0,16,1341,0,0,0,63000,95061000,760488000,0.00,1487,57,1430
io_8G_1200Mbit,100161.959596838,100219.512624494,1000,0,0,1000,1000,1,2048,0,5879041,5846336,32705,5846336,5846336,0,11725377,57.553027,50.990782,7.277300,43.713482,88,203000,229000,16,1339,0,0,0,5932188,8838936356,0,0,0,103000,153579000,1228632000,0.00,5846336,8629151463,0,85864,0,5846336,8629151463,0,0,0,101000,149933000,1199464000,1.45,5846234,8710864896,0,0,0,16,1339,0,0,0,101000,151353000,1210824000,0.00,30993,30725,268
io_8G_1200Mbit,100221.517692883,100279.77791173,1000,0,0,1000,1000,1,2048,0,5944239,5909435,34804,5909435,5909435,0,11853674,57.560098,51.287020,7.308414,43.978606,89,205000,230000,16,1340,0,0,0,5931947,8838577268,0,0,0,103000,153554000,1228432000,0.00,5909435,8722285590,0,22524,0,5909435,8722285590,0,0,0,102000,151533000,1212264000,0.38,5909180,8804654438,0,0,0,16,1340,0,0,0,102000,152964000,1223712000,0.00,32686,32499,187
io_8G_1200Mbit,100281.82733436,100338.669531353,1000,0,0,1000,1000,1,2048,0,6004515,5849279,155236,5849279,5849279,0,11853794,57.586797,54.115693,7.706768,46.408925,93,203000,216000,17,1384,0,0,0,5929526,8834968532,0,0,0,102000,153422000,1227376000,0.00,5849279,8633495338,0,80258,0,5849279,8633495338,0,0,0,101000,149923000,1199384000,1.35,5849172,8715242520,0,0,0,16,1342,0,0,0,101000,151343000,1210744000,0.00,106770,106650,120
io_10G_1400Mbit,100344.684252867,100406.342113390,1000,0,0,1000,1000,1,2048,0,6819026,6802988,16038,6802988,6802988,0,13622014,61.657860,60.407718,8.100553,52.307165,97,220000,225000,16,1342,0,0,0,7392214,11014375096,0,0,0,119000,178639000,1429112000,0.00,6802988,10041169818,0,589238,0,6802988,10041169818,0,0,0,110000,162855000,1302840000,7.97,6798530,10129785936,0,0,0,16,1342,0,0,0,110000,164292000,1314336000,0.00,15652,15090,562
io_10G_1400Mbit,100408.347034154,100469.996861546,1000,0,0,1000,1000,1,2048,0,6840714,6814286,26428,6814286,6814286,0,13655000,61.649827,60.330486,8.213389,52.117097,97,221000,225000,17,1384,0,0,0,7403570,11031294092,0,0,0,120000,178937000,1431496000,0.00,6814286,10057845670,0,589295,0,6814286,10057845670,0,0,0,110000,163146000,1305168000,7.96,6813436,10151995880,0,0,0,16,1342,0,0,0,110000,164674000,1317392000,0.00,23194,22750,444
io_10G_1400Mbit,100472.2400506,100533.672321448,1000,0,0,1000,1000,1,2048,0,6775044,6759522,15522,6759522,6759522,0,13534566,61.669920,60.542570,8.324513,52.218057,98,219000,223000,17,1382,0,0,0,7381759,10998795702,0,0,0,119000,178352000,1426816000,0.00,6759522,9977014004,0,622248,0,6759522,9977014004,0,0,0,109000,161783000,1294264000,8.43,6758042,10069457372,0,0,0,17,1382,0,0,0,109000,163282000,1306256000,0.00,14469,14017,452
io_10G_1400Mbit,100535.677226748,100597.971854167,1000,0,0,1000,1000,1,2048,0,6924280,6906249,18031,6906249,6906249,0,13830529,62.294627,60.309930,8.38807,52.271123,96,221000,229000,16,1342,0,0,0,7398929,11024379027,0,0,0,118000,176973000,1415784000,0.00,6906249,10193583058,0,492692,0,6906249,10193583058,0,0,0,110000,163636000,1309088000,6.66,6904590,10287815340,0,0,0,16,1342,0,0,0,110000,165149000,1321192000,0.00,16993,16640,353
io_10G_1400Mbit,100599.976550403,100661.805595055,1000,0,0,1000,1000,1,2048,0,6760406,6743317,17089,6743317,6743317,0,13503723,61.829044,60.485298,8.170714,52.314584,97,218000,222000,16,1342,0,0,0,7386852,11006385719,0,0,0,119000,178013000,1424104000,0.00,6743317,9953095425,0,643547,0,6743317,9953095425,0,0,0,109000,160977000,1287816000,8.71,6742278,10045971907,0,0,0,15,1300,0,0,0,109000,162479000,1299832000,0.00,16147,15759,388
io_12G_1600Mbit,100667.820986587,100732.563793563,1000,0,0,1000,1000,1,2048,0,7151259,7120707,30552,7120707,7120707,0,14271966,64.742806,63.599498,8.731323,54.868175,98,219000,223000,16,1532,0,0,0,8874872,13223535682,0,0,0,137000,204249000,1633992000,0.00,7120707,10510120522,0,1754179,0,7120707,10510120522,0,0,0,109000,162338000,1298704000,19.77,7113252,10598720434,0,0,0,17,1574,0,0,0,109000,163707000,1309656000,0.00,23584,23003,581
io_12G_1600Mbit,100734.568705096,100799.295227948,1000,0,0,1000,1000,1,2048,0,7636425,7603435,32990,7603435,7603435,0,15239860,64.726522,63.519091,8.555479,54.963612,98,234000,239000,17,1574,0,0,0,8850232,13186820635,0,0,0,136000,203732000,1629856000,0.00,7603435,11222627051,0,1246810,0,7603435,11222627051,0,0,0,117000,173386000,1387088000,14.09,7595639,11317477065,0,0,0,17,1574,0,0,0,117000,174852000,1398816000,0.00,26623,25992,631
io_12G_1600Mbit,100801.300019100,100866.21137759,1000,0,0,1000,1000,1,2048,0,7537626,7494292,43334,7494292,7494292,0,15031918,64.721118,63.244323,8.971980,54.272343,97,231000,236000,17,1571,0,0,0,8838749,13169710966,0,0,0,136000,203484000,1627872000,0.00,7494292,11061531981,0,1344470,0,7494292,11061531981,0,0,0,115000,170911000,1367288000,15.21,7480944,11146581516,0,0,0,17,1571,0,0,0,115000,172225000,1377800000,0.00,35068,34748,320
io_12G_1600Mbit,100868.26890511,100932.751405673,1000,0,0,1000,1000,1,2048,0,7528056,7510377,17679,7510377,7510377,0,15038433,64.724515,63.423449,8.970532,54.452917,97,232000,236000,17,1571,0,0,0,8874003,13222239425,0,0,0,137000,204286000,1634288000,0.00,7510377,11085273440,0,1363639,0,7510377,11085273440,0,0,0,116000,171269000,1370152000,15.37,7501516,11177235243,0,0,0,16,1529,0,0,0,115000,172690000,1381520000,0.00,15447,14978,469
io_12G_1600Mbit,100934.756495314,100999.477050131,1000,0,0,1000,1000,1,2048,0,7565424,7523866,41558,7523866,7523866,0,15089290,64.720554,63.117663,8.857587,54.260076,97,232000,238000,17,1571,0,0,0,8802465,13115647802,0,0,0,136000,202652000,1621216000,0.00,7523866,11105183201,0,1278612,0,7523866,11105183201,0,0,0,116000,171588000,1372704000,14.53,7516687,11199840030,0,0,0,16,1529,0,0,0,116000,173050000,1384400000,0.00,35086,34678,408
